,sparql_wikidata,paraphrased_question,question,best_translation,bert_q_NL,bert_NL_NL_gt,intra_cluster_distance
33, select distinct ?obj where { [Los Angeles] [shares border with] ?obj . ?obj [instance of] [neighborhood] } ,N / A N / A,,What neighborhoods share a border with Los Angeles?,0.8369818,0.42205298,0.0
34,SELECT ?answer WHERE { [Zakhar Oskotsky] [place of birth] ?X . ?X [twinned administrative body] ?answer},Which sister city in Zakhar Oskotsky was born?,What sister city was born in of Zakhar Oskotsky?,What are the twin towns or sister cities associated with the birthplace of Zakhar Oskotsky?,0.7082296,0.8685136,2.2998004244457126
35,"SELECT DISTINCT ?sbj ?sbj_label WHERE { ?sbj [instance of] [speculative fiction genre] . ?sbj rdfs:label ?sbj_label . FILTER(STRSTARTS(lcase(?sbj_label), 's')) . FILTER (lang(?sbj_label) = 'en') } LIMIT 25 ",Let me know the title of a fantastique sort that begins with the letter s.,Tell me the name of a fantastique genre that starts with the letter s.,What are some works of speculative fiction that start with the letter 's'?,0.8928746,0.83815396,2.3513708347401074
36,SELECT ?answer WHERE { [Missa Solemnis] [composer] ?answer . ?answer [mother] [Maria Magdalena van Beethoven]},What is the musical rating by means of Missa Solemnis that has mother Maria Magdalena van Beethoven?,What is the musical score by Missa Solemnis that has mother Maria Magdalena van Beethoven?,Who is the composer of Missa Solemnis who is also the mother of Maria Magdalena van Beethoven?,0.5578331,0.860829,3.2182097700349916
37,SELECT ?value WHERE { [Robert De Niro] [residence] ?s . ?s [residence] [Marbletown] . ?s [point in time] ?value},When did Robert De Nirolive in Marbletown?,When did Robert De Niro reside in Marbletown?,What dates can be associated with Robert De Niro's residence in Marbletown?,0.8365278,0.7009889,4.6015909971707325
38,"SELECT DISTINCT ?sbj ?sbj_label WHERE { ?sbj [instance of] [organization] . ?sbj rdfs:label ?sbj_label . FILTER(CONTAINS(lcase(?sbj_label), 'zollkriminalamt')) . FILTER (lang(?sbj_label) = 'en') } LIMIT 25 ",Let me know organization whose title has the word zollkriminalamt in it.,Tell me organization whose name has the word  zollkriminalamt  in it.,"What organizations have the name that includes ""zollkriminalamt""?",0.8693992,0.88857156,2.3790907767611382
39,select ?ent where { ?ent [instance of] [state] . ?ent [inflation rate] ?obj . ?ent [member of] [International Centre for Settlement of Investment Disputes] } ORDER BY DESC(?obj)LIMIT 5 ,Which country in the International Centre for Settlement of Investment Disputes has the highest inflation rate?,Which member state of the International Centre for Settlement of Investment Disputes has the maximum inflation rate?,What are the top five states that are members of the International Centre for Settlement of Investment Disputes and have a recorded inflation rate?,0.4381386,0.9248078,0.8836369120585802
40,ASK WHERE { [Brittany Murphy] [country of citizenship] [United States of America] },Did Brittany Murphy have USA citizenship?,Was Brittany Murphy a citizen of the USA?,Does Brittany Murphy hold citizenship in the United States of America?,0.77223814,0.8305291,0.0
41,SELECT ?ans_1 ?ans_2 WHERE { [Hank Azaria] [unmarried partner] ?ans_1 . [Hank Azaria] [spouse] ?ans_2 },Who is Hank Azaria married to ?,Who is the partner and the spouse of Hank Azaria?,What are the names of Hank Azaria's unmarried partner and spouse?,0.764619,0.7835206,3.890274202534375
42,ASK WHERE { [St Peter's Junior School] [maximum age] ?obj filter(?obj = 11) } ,Is 11 the maximum age of St. Peters Junior School?,Does St. Peters Junior School maximum age equal to 11?,Is the maximum age for membership at St Peter's Junior School set at 11 years old?,0.75538117,0.8489645,2.786624871216606
43,select ?ent where { ?ent [instance of] [country] . ?ent [individual tax rate] ?obj } ORDER BY DESC(?obj)LIMIT 5 ,What country has the highest taxes?,Which country has highest individual tax rate?,Which countries have the highest individual tax rates?,0.8792752,0.891322,2.203630367398065
44,SELECT ?value WHERE { [James Thomas Farrell] [award received] ?s . ?s [award received] [St. Louis Literary Award] . ?s [point in time] ?value},What was the date that The St. Louis Literary Award was aquired by James Thomas Farrell.,When did James Thomas Farrell receive the St. Louis Literary Award?,What is the date when James Thomas Farrell received the St. Louis Literary Award?,0.90266186,0.87739086,1.0229431276688155
45,SELECT ?value WHERE { [Pablo Picasso] [unmarried partner] ?s . ?s [unmarried partner] [Fernande Olivier] . ?s [end time] ?value},On what date did Pablo Picasso end his partnership with Fernade Oliver?,When was Pablo Picasso's partnership with Fernade Oliver over?,What was the moment when Fernande Olivier ceased to be Pablo Picasso's unmarried partner?,0.8754742,0.85854995,3.5762556375160206
46,select ?ent where { ?ent [instance of] [product] . ?ent [consumption rate per capita] ?obj . ?ent [has part(s)] [paraffin]. } ORDER BY ASC(?obj)LIMIT 5 ,What product that contains paraffin wax has the lowest usage per capita?,What is the product with the lowest consumption rate per capita whose has part is paraffin wax?,What are the products that have a consumption rate per capita and include paraffin as a component?,0.34881833,0.90295655,2.5425722816171503
47,SELECT ?obj WHERE { [Michigan] [coordinates of geographic center] ?s . ?s [coordinates of geographic center] ?obj . ?s [determination method or standard] [center of gravity of the surface] },Where is the geographic center of Michigan using the gravity center of the surface?,"What are the coordinates for the geographic center of Michigan, as determined by the center of gravity of the surface?",What are the coordinates of the geographic center of Michigan as determined by the center of gravity of the surface?,0.68479264,0.881076,1.7294396270201773
48,ASK WHERE { [Indonesia] [life expectancy] ?obj filter(?obj = 55.3528) } ,"In Indonesia, is the average life expectancy 55.3528?",Is the life expectancy of Indonesia 55.3528?,What is the average life expectancy for Indonesia if it is 55.3528 years?,0.89042175,0.90823627,3.3887592330404517
49,SELECT ?value WHERE { [Emmerson Mnangagwa] [educated at] ?s . ?s [educated at] [University of Zambia] . ?s [start time] ?value},What year did Emmerson Mnangagwa start at the University of Zambia?,When did Emmerson Mnangagwa begin going to the University of Zambia?,What is the start time for the educational experience of Emmerson Mnangagwa at the University of Zambia?,0.7878629,0.91109747,1.7691890619664707
50,SELECT ?answer WHERE { [Grigori Kozintsev] [occupation] ?answer . ?answer [field of this occupation] [screenwriting]},What kind of career in the screenwriting field does Grigori Kozintsev have?,What kind of career does Grigori Kozintsev have in the screenwriting field?,What occupation does Grigori Kozintsev have that is related to screenwriting?,0.68136287,0.9437301,2.2561445762914993
51,SELECT ?answer WHERE { [hypothetical protein ECIAI39_4120] [found in taxon] ?X . ?X [habitat] ?answer},Which species is the ecia139-4120 protein found in?,what is hypothetical protein ecia139-4120 habitat of found in species?,What is the habitat of the taxon in which the hypothetical protein ECIAI39_4120 can be found?,0.7629018,0.86727697,0.0
52, select distinct ?sbj where { ?sbj [replaces] [Kingdom of Great Britain] . ?sbj [instance of] [sovereign state] } ,What majestic state supplanted the Kingdom of Incredible Britain?,What sovereign state replaced the Kingdom of Great Britain?,What sovereign states replaced the Kingdom of Great Britain?,0.73072547,0.8411313,1.6419198991751613
53,ASK WHERE { [Colm Gilcreest] [century breaks] ?obj filter(?obj < 9.6) } ,Of the century breaks of the Colm Gilcreest rise to less than 9.6?,Of the century breaks of the Colm Gilcreest equal less than 9.6?,"How many career century breaks does Colm Gilcreest have in official professional snooker tournaments, considering only those below 9.6?",0.9102386,0.62424266,3.068458374298578
54, select distinct ?obj where { [Golden Horde] [country] ?obj . ?obj [instance of] [historical country] } ,Where did the Golden Horde live in?,In which country the Golden Horde used to live ?,What historical countries were part of the Golden Horde?,0.7200808,0.8736545,0.0
55,SELECT ?answer WHERE { [Central District] [capital] ?answer . ?answer [twinned administrative body] [Feodosiia]},"Located in the Central District, what is the county seat whose twin cities include Feodosiya?","Located in the Central District, what is the county seat whose twin cities include Feodosiya?",What is the capital of the Central District that is twinned with Feodosiia?,0.700416,0.8529102,2.606493596218117
56,"SELECT ?value WHERE { [Nicaragua] [population] ?s . ?s [population] ?x filter(contains(?x,'3.87732e+06')) . ?s [point in time] ?value}",In what year was Nicaragua's population 3.87732 million?,When did Nicaragua count a population of 3.87732e+06 inhabitants?,What are the points in time when Nicaragua had a population of approximately 3.87732 million people?,0.81580627,0.9204009,1.3598877418411348
57, select distinct ?obj where { [association football] [regulated by] ?obj . ?obj [instance of] [metaorganization] } ,The football association regulates what organization?,Which is the meta-organization that is regulated by the football association?,What metaorganizations regulate association football?,0.8178189,0.7366637,1.3116662311347413
58,"SELECT ?obj WHERE { [Nero] [spouse] ?s . ?s [spouse] ?obj . ?s [end time] ?x filter(contains(?x,'68-6-9')) }",When was the companion separated Nero in 9-6-68?,When was the spouse divorced Nero in 9-6-68,What was the spouse of Nero's spouse's partner at the time of their end?,0.1601366,0.635483,5.282749850286296
59, select distinct ?sbj where { ?sbj [has edition or translation] [Septuagint] . ?sbj [instance of] [written work] } ,Not applicable,,What written works have an edition or translation of the Septuagint?,0.66225576,0.35261583,1.5272465365448584
60,SELECT ?answer WHERE { [Art Spiegelman] [award received] ?answer . ?answer [winner] [Francisco X. Alarcón]},Former champion Francisco Alarcon gave what award to Art Spiegelaman?,Former champion Francisco Alarcon gave what award to Art Spiegelaman?,What awards has Art Spiegelman received that were also won by Francisco X. Alarcón?,0.333674,0.8215521,2.602170437000837
61,ASK WHERE { [Charkhi Dadri mid-air collision] [number of survivors] ?obj filter(?obj = 0) } ,Are there more than survivors of the Charkhi Dadri mid-air collision,Are there more than 0 survivors of the Charkhi Dadri mid-air collision,Did the Charkhi Dadri mid-air collision have any survivors?,0.11507872,0.89429224,1.861183795977234
62,SELECT ?value WHERE { [Secretariat] [award received] ?s . ?s [award received] [Triple Crown Trophy] . ?s [point in time] ?value},On what date was Triple Crown Trophy given to Secretariat?,When did Secretariat receive the Triple Crown Trophy?,What dates did Secretariat receive the Triple Crown Trophy?,0.89289445,0.87596935,2.7170597284195863
63,"SELECT ?answer WHERE { [Riverside] [shares border with] ?answer . ?answer [inception] ?x FILTER(contains(YEAR(?x),'1984'))}",Which borders of borders of Riverside have a begin date of 1984-0-0?,Which borders of borders of Riverside have a start date of 1984-0-0?,What countries or administrative subdivisions that share a border with Riverside were established in 1984?,0.9471233,0.71908444,4.836056181626311
64,"SELECT DISTINCT ?sbj ?sbj_label WHERE { ?sbj [instance of] [cause of death] . ?sbj [medical examination] [computed tomography] . ?sbj rdfs:label ?sbj_label . FILTER(STRSTARTS(lcase(?sbj_label), 'p')) . FILTER (lang(?sbj_label) = 'en') } LIMIT 25 ","What is a purpose of dying that begins with the letter ""p"" and can be located on a CT scan?","What is a cause of death that begins with the letter ""p"" and can be found on a CT scan?","What are the different causes of death that are diagnosed through computed tomography in medical examinations, starting with the letter ""p""?",0.9632966,0.8939489,2.954396039320141
65,SELECT ?answer WHERE { [Archbishop of Canterbury] [founded by] ?answer . ?answer [sex or gender] [male]},"What is hooked up by way of Archbishop of Canterbury, who is a male?","What is established by Archbishop of Canterbury, who is a male?",Who is the male founder of the Archbishop of Canterbury?,0.55495965,0.8126379,4.070200499046735
66,SELECT ?value WHERE { [Fernandel] [place of burial] ?s . ?s [place of burial] [Passy Cemetery] . ?s [Commons category] ?value},Where at Passy Cementery is Fernandel buried?,In what area is Fernandel buried at the Passy Cemetery?,What media related to Fernandel can be found in the Wikimedia Commons category for his burial place at Passy Cemetery?,0.37903422,0.68253106,3.5286706428813566
67,select ?ent where { ?ent [instance of] [naval artillery] . ?ent [effective firing range] ?obj . ?ent [instance of] [naval artillery]. } ORDER BY ASC(?obj)LIMIT 5 ,How is the naval artillery wirh the smallest firing range called?,Name the naval artillery wirh the smallest firing range?,What are the different types of naval artillery and their effective firing ranges?,0.37328637,0.7479383,2.3988043400921164
68,"SELECT ?answer WHERE { [cayenne pepper] [named after] ?answer . ?answer [inception] ?x FILTER(contains(YEAR(?x),'1664'))}",What is the title of a Cayenne Pepper that too has dates?,What is the name of a Cayenne Pepper that also has dates?,"What is the entity or event that inspired the name ""cayenne pepper"" that began to exist in the year 1664?",0.93693817,0.82136506,1.9231500623317321
69,ASK WHERE { [Vest-vassdraget] [throughput] ?obj filter(?obj = 2697.672) } ,Does Vest-vassdraget have a throughput of 2697.672?,Is the throughput of the Vest-vassdraget equal to 2697.672?,"What is the throughput of the Vest-vassdraget river system, specifically concerning the value of 2697.672?",0.9366046,0.77813154,3.4858426832297007
70,SELECT ?obj WHERE { [Taguig] [population] ?s . ?s [population] ?obj . ?s [determination method or standard] [census] },wich method was used by the census to determine the population of Taguig?,What method did the census use to determine the population of Taguig?,What is the population of Taguig according to the census?,0.6542565,0.83209157,1.32605943127561
71,"SELECT ?obj WHERE { [Olga Tokarczuk] [award received] ?s . ?s [award received] ?obj . ?s [point in time] ?x filter(contains(YEAR(?x),'2015')) }",Olga Tokarczuk was the winner of what award in 2015?,What award did Olga Tokarczuk receive in 2015?,What awards did Olga Tokarczuk receive in 2015?,0.9509169,0.873692,0.0
72,ASK WHERE { [Aleister Crowley] [educated at] [Trinity College] . [Aleister Crowley] [educated at] [Eton College] },Did Aleister Crowley receive his education at Trinity College and Eton College?,Was Aleister Crowley educated at Trinity College and Eton College?,"Which educational institutions did Aleister Crowley attend, specifically Trinity College and Eton College?",0.25460264,0.9182967,2.7411543758241037
73,SELECT ?answer WHERE { [Infinite Jest] [narrative location] ?answer . ?answer [shares border with] [Quincy]},"What is {located next to Quincy,} in the {novel, Infinite Jest}?","What is {located next to Quincy,} in the {novel, Infinite Jest}?",What locations in which Infinite Jest is set share a border with Quincy?,0.57622445,0.75737876,3.540985496754826
74,SELECT ?value WHERE { [Eric Hobsbawm] [award received] ?s . ?s [award received] [honorary doctorate] . ?s [conferred by] ?value},Eric Hobsbawm was presented with an honorary doctorate by what institution?,Who awarded Eric Hobsbawm an honorary doctorate?,What organizations granted honorary doctorates to Eric Hobsbawm?,0.4076307,0.8601793,2.2156766082568837
75,"SELECT ?obj WHERE { [Allan Border] [member of sports team] ?s . ?s [member of sports team] ?obj . ?s [end time] ?x filter(contains(YEAR(?x),'1980')) }",In 1980 name the last team Allan Border played for?,What was the last team Allan Border belonged to in the year 1980?,What sports team did Allan Border represent in 1980?,0.9661176,0.76715744,4.258783998900176
76,"SELECT DISTINCT ?sbj ?sbj_label WHERE { ?sbj [instance of] [film character] . ?sbj [from narrative universe] [Marvel Universe] . ?sbj rdfs:label ?sbj_label . FILTER(STRSTARTS(lcase(?sbj_label), 'w')) . FILTER (lang(?sbj_label) = 'en') } LIMIT 25 ","Give me a movie personality from a fictional universe, such as Marvel comics that starts with a W.","Give me a film character from a fictional universe, such as Marvel comics that starts with a W.",What are the names of film characters from the Marvel Universe that start with the letter 'W'?,0.9631714,0.8446826,2.071432018535529
77, select distinct ?sbj where { ?sbj [fictional universe described in] [The Matrix] . ?sbj [instance of] [fictional universe] } ,Say the anecdotal universe depicted or included within The Framework.,Mention the fictional universe described or included in The Matrix.,What fictional universes are described in The Matrix?,0.830179,0.704296,0.0
78,"SELECT ?obj WHERE { [Hans Krebs] [award received] ?s . ?s [award received] ?obj . ?s [point in time] ?x filter(contains(YEAR(?x),'1966')) }",What is {grant gotten} of {Hans Krebs} where {point in time} is {1966-0-0} ?,What is {award received} of {Hans Krebs} where {point in time} is {1966-0-0} ?,What awards did Hans Krebs receive in 1966?,0.95694983,0.6236186,0.0
79, select distinct ?obj where { [Janet Jackson] [record label] ?obj . ?obj [instance of] [record label] } ,What is the record label signed by Janet Jackson?,Which record label signed Janet Jackson?,What record labels is Janet Jackson associated with?,0.81098676,0.9048812,2.0248688555018814
80,ASK WHERE { [Merion Golf Club] [slope rating] ?obj filter(?obj = 149) } ,Is the slope rating of the Merion Golf Club 149?,Does the slope rating of the Merion Golf Club equal 149,Is the slope rating of Merion Golf Club equal to 149?,0.9580238,0.9553777,2.2369147901034645
81,"SELECT ?obj WHERE { [hydrogen peroxide] [density] ?s . ?s [density] ?obj . ?s [temperature] ?x filter(contains(?x,'20.0')) }",What is hydrogen peroxide's density at twenty degrees?,What is the density of hydrogen peroxide at a temperature of 20.0?,What are the densities of hydrogen peroxide at a temperature of 20.0 degrees?,0.9123001,0.92286783,2.8079141525721734
82,SELECT ?answer WHERE { [New York Centaurs] [home venue] ?X . ?X [architect] ?answer},who engineering firm of domestic field of modern york centaurs?,who architecture firm of home field of new york centaurs?,Who was the architect responsible for designing the home venue of the New York Centaurs?,0.5290554,0.62495255,2.3855056270028894
83,SELECT ?answer WHERE { [Lily Tomlin] [award received] ?X . ?X [winner] ?answer},Who is {champ} of {prize granted} {Lily Tomlin} ?TARD ?,Who is {champ} of {prize awarded} {Lily Tomlin} ?,What awards has Lily Tomlin received and won?,0.3396902,0.62268645,2.7349192324689082
84,SELECT ?answer WHERE { [Minigun] [ammunition] ?answer . ?answer [conflict] [Vietnam War]},"What is the ammunition of the weapon, that has been used in the conflict in Southeast Asia?","What is the ammunition of the weapon, that has been used in the war in Southeast Asia?",What ammunition was used by the Minigun during the Vietnam War?,0.51155806,0.8164313,3.173927675868739
85,"SELECT DISTINCT ?sbj ?sbj_label WHERE { ?sbj [instance of] [horse breed] . ?sbj rdfs:label ?sbj_label . FILTER(STRSTARTS(lcase(?sbj_label), 'z')) . FILTER (lang(?sbj_label) = 'en') } LIMIT 25 ",Tell me each and every horse breed whose identify begins with the letter z,Tell me every horse breed whose name starts with the letter z,What horse breeds have names that start with the letter 'z'?,0.96316373,0.83382976,1.1592522886664915
86,SELECT ?answer WHERE { [Qur’an] [author] ?X . ?X [relative] ?answer},Give me the name of the brother in law of the writer of Quran.,Who is the brother in law of the writer Quran?,Who are the family members of the author of the Qur'an?,0.59907234,0.78571326,1.0237997722494785
