NNQT_question,uid,subgraph,template_index,question,sparql_wikidata,sparql_dbpedia18,template,paraphrased_question,sparql_wikidata_translated,descriptions
Did {Lindsey_Vonn} {participant of} {FIS Alpine World Ski Championships 1999} and {FIS Alpine World Ski Championships 2019} ?,519,boolean double one_hop right subgraph,19,Did Lindsey Vonn participate in the FIS Alpine World Ski Championships in 1999 and 2019?,ASK WHERE { wd:Q10068 wdt:P1344 wd:Q1428251 . wd:Q10068 wdt:P1344 wd:Q15263420 }, ASK { ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#subject> <http://wikidata.dbpedia.org/resource/Q10068> . ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#predicate> <http://www.wikidata.org/entity/P1344> . ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#object> <http://wikidata.dbpedia.org/resource/Q1428251>. ?statement2 <http://www.w3.org/1999/02/22-rdf-syntax-ns#subject> <http://wikidata.dbpedia.org/resource/Q10068> . ?statement2 <http://www.w3.org/1999/02/22-rdf-syntax-ns#predicate> <http://www.wikidata.org/entity/P1344> . ?statement2 <http://www.w3.org/1999/02/22-rdf-syntax-ns#object> <http://wikidata.dbpedia.org/resource/Q15263420>. } ,Ask (ent-pred-obj1` . ent-pred-obj2),"In 1999 and 2019, was Lindsey Vonn in the FIS Alpine World Ski Championships?",ASK WHERE { [Lindsey Vonn] [participant in] [FIS Alpine World Ski Championships 1999] . [Lindsey Vonn] [participant in] [FIS Alpine World Ski Championships 2019] },"['[participant in] is event in which a person or organization was/is a participant; inverse of P710 or P1923', '[Lindsey Vonn] is American alpine skier (born 1984)', '[Lindsey Vonn] is American alpine skier (born 1984)', '[FIS Alpine World Ski Championships 1999] is 1999 edition of the FIS Alpine World Ski Championships', '[FIS Alpine World Ski Championships 2019] is 2019 edition of the FIS Alpine World Ski Championships', '[participant in] is event in which a person or organization was/is a participant; inverse of P710 or P1923']"
What is {position held} of {Angela Merkel} that is {start time} is {1994-11-10} ?,3708,statement_property,153,"When position did Angela Merkel hold on November 10, 1994?","SELECT ?obj WHERE { wd:Q567 p:P39 ?s . ?s ps:P39 ?obj . ?s pq:P580 ?x filter(contains(YEAR(?x),'1994')) }","select distinct ?obj  where {
?statement <http://www.w3.org/1999/02/22-rdf-syntax-ns#subject> <http://wikidata.dbpedia.org/resource/Q567> .
?statement <http://www.w3.org/1999/02/22-rdf-syntax-ns#predicate> <http://www.wikidata.org/entity/P39> .
?statement <http://www.w3.org/1999/02/22-rdf-syntax-ns#object> ?obj .
?statement <http://www.wikidata.org/entity/P580> <1994-11-10>
} 
",(E pred F) prop ?value,"On November 10, 1994, what was Angela Merkel's role?","SELECT ?obj WHERE { [Angela Merkel] [position held] ?s . ?s [position held] ?obj . ?s [start time] ?x filter(contains(YEAR(?x),'1994')) }","['[position held] is subject currently or formerly holds the object position or public office', '[position held] is subject currently or formerly holds the object position or public office', '[start time] is time an entity begins to exist or a statement starts being valid', '[Angela Merkel] is chancellor of Germany from 2005 to 2021']"
What is {population} of {Spokane} that is {point in time} is {2007-0-0} ?,7974,statement_property,4419,"On 0-0-2007, what is the populaton of Spokane?","SELECT ?obj WHERE { wd:Q187805 p:P1082 ?s . ?s ps:P1082 ?obj . ?s pq:P585 ?x filter(contains(YEAR(?x),'2007')) }","select distinct ?obj  where {
?statement <http://www.w3.org/1999/02/22-rdf-syntax-ns#subject> <http://wikidata.dbpedia.org/resource/Q187805> .
?statement <http://www.w3.org/1999/02/22-rdf-syntax-ns#predicate> <http://www.wikidata.org/entity/P1082> .
?statement <http://www.w3.org/1999/02/22-rdf-syntax-ns#object> ?obj .
?statement <http://www.wikidata.org/entity/P585> <2007-0-0>
} 
",(E pred F) prop ?value,What was the population of Spokane at the beginning of 2007?,"SELECT ?obj WHERE { [Spokane] [population] ?s . ?s [population] ?obj . ?s [point in time] ?x filter(contains(YEAR(?x),'2007')) }","['[point in time] is date something took place, existed or a statement was true; for providing time use the ""refine date"" property (P4241)', '[population] is number of people inhabiting the place; number of people of subject', '[population] is number of people inhabiting the place; number of people of subject', '[Spokane] is city in and county seat of Spokane County, Washington, United States']"
What is the {essential medicine} for {medical condition treated} of {leprosy},21093,simple question left,1439,What essential medicine is needed to treat leprosy?, select distinct ?sbj where { ?sbj wdt:P2175 wd:Q36956 . ?sbj wdt:P31 wd:Q35456 } ,select distinct ?subj where { ?statement <http://www.w3.org/1999/02/22-rdf-syntax-ns#subject> ?subj . ?statement <http://www.w3.org/1999/02/22-rdf-syntax-ns#predicate> <http://www.wikidata.org/entity/P2175> . ?statement <http://www.w3.org/1999/02/22-rdf-syntax-ns#object> <http://wikidata.dbpedia.org/resource/Q36956> . ?subj <http://www.wikidata.org/entity/P31> <http://wikidata.dbpedia.org/resource/Q35456> } ,<?S P O ; ?S InstanceOf Type>,What basic pharmaceutical is required to treat leprosy?, select distinct ?sbj where { ?sbj [medical condition treated] [leprosy] . ?sbj [instance of] [essential medicine] } ,"['[medical condition treated] is disease that this pharmaceutical drug, procedure, or therapy is used to treat', '[leprosy] is chronic infection caused by bacteria Mycobacterium leprae', '[essential medicine] is drug that satisfies the health care needs of the majority of the population according to WHO', '[instance of] is that class of which this subject is a particular example and member; different from P279 (subclass of); for example: K2 is an instance of mountain; volcano is a subclass of mountain (and an instance of volcanic landform)']"
Did {Judi_Dench} {award received} {Tony Award for Best Direction of a Play} and {Praemium Imperiale} ?,712,boolean double one_hop right subgraph,212,Did Judi Densch receive a Tony Award for best direction of the play Premium Imperiale?,ASK WHERE { wd:Q28054 wdt:P166 wd:Q640374 . wd:Q28054 wdt:P166 wd:Q268670 }, ASK { ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#subject> <http://wikidata.dbpedia.org/resource/Q28054> . ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#predicate> <http://www.wikidata.org/entity/P166> . ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#object> <http://wikidata.dbpedia.org/resource/Q640374>. ?statement2 <http://www.w3.org/1999/02/22-rdf-syntax-ns#subject> <http://wikidata.dbpedia.org/resource/Q28054> . ?statement2 <http://www.w3.org/1999/02/22-rdf-syntax-ns#predicate> <http://www.wikidata.org/entity/P166> . ?statement2 <http://www.w3.org/1999/02/22-rdf-syntax-ns#object> <http://wikidata.dbpedia.org/resource/Q268670>. } ,Ask (ent-pred-obj1` . ent-pred-obj2),Was the Tony Award for best direction of the play Premium Imperiale given to Judi Densch?,ASK WHERE { [Judi Dench] [award received] [Tony Award for Best Direction of a Play] . [Judi Dench] [award received] [Praemium Imperiale] },"['[Praemium Imperiale] is arts prize', '[Tony Award for Best Direction of a Play] is award', '[Judi Dench] is English actress (born 1934)', '[Judi Dench] is English actress (born 1934)', '[award received] is award or recognition received by a person, organization or creative work', '[award received] is award or recognition received by a person, organization or creative work']"
what is the {pressure} for {copper} has {boiling point} as {4703.0} ?,6826,statement_property,3271,What is the boiling point of pressure copper as 4703.0?,"SELECT ?value WHERE { wd:Q753 p:P2102 ?s . ?s ps:P2102 ?x filter(contains(?x,'4703.0')) . ?s pq:P2077 ?value}","select distinct ?value  where {
?statement <http://www.w3.org/1999/02/22-rdf-syntax-ns#subject> <http://wikidata.dbpedia.org/resource/Q753> .
?statement <http://www.w3.org/1999/02/22-rdf-syntax-ns#predicate> <http://www.wikidata.org/entity/P2102> .
?statement <http://www.w3.org/1999/02/22-rdf-syntax-ns#object> <4703.0> .
?statement <http://www.wikidata.org/entity/P2077> ?value. 
} 
",(E pred ?Obj ) prop value,Copper as 4703.0 has a boiling boint of what?,"SELECT ?value WHERE { [copper] [boiling point] ?s . ?s [boiling point] ?x filter(contains(?x,'4703.0')) . ?s [under pressure] ?value}","['[under pressure] is qualifier to indicate at what pressure something took place', '[boiling point] is temperature at which a substance changes its phase from liquid to gas (indicate the corresponding pressure as qualifier)', '[boiling point] is temperature at which a substance changes its phase from liquid to gas (indicate the corresponding pressure as qualifier)', '[copper] is chemical element with symbol Cu and atomic number 29']"
What is the {record held} and the {named after} of {Marathon} ?,10143,two intentions right subgraph,431,After what is Marathon named and what is the current record?,SELECT ?ans_1 ?ans_2 WHERE { wd:Q40244 wdt:P1000 ?ans_1 . wd:Q40244 wdt:P138 ?ans_2 }, SELECT ?ans_1 ?ans_2 WHERE { ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#subject> <http://wikidata.dbpedia.org/resource/Q40244> . ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#predicate> <http://www.wikidata.org/entity/P1000> . ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#object> ?ans_1. ?statement2 <http://www.w3.org/1999/02/22-rdf-syntax-ns#subject> <http://wikidata.dbpedia.org/resource/Q40244> . ?statement2 <http://www.w3.org/1999/02/22-rdf-syntax-ns#predicate> <http://www.wikidata.org/entity/P138> . ?statement2 <http://www.w3.org/1999/02/22-rdf-syntax-ns#object> ?ans_2. } ,select where (ent-pred-obj1 . ent-pred-obj2),why Marathon had this name and the current record is?,SELECT ?ans_1 ?ans_2 WHERE { [marathon] [record held] ?ans_1 . [marathon] [named after] ?ans_2 },"['[record held] is notable record achieved by a person or entity, include qualifiers for dates held', '[marathon] is long-distance running event with an official distance of 42.195 km', '[named after] is entity or event that inspired the subject\'s name, or namesake (in at least one language). Qualifier ""applies to name"" (P5168) can be used to indicate which one', '[marathon] is long-distance running event with an official distance of 42.195 km']"
What is {played by} of {succeded by} of {Sleepwalking} ?,15164,left-subgraph,86,Who Sleepwalking succeeded in playing Sleepwalking?,SELECT ?answer WHERE { wd:Q7539946 wdt:P156 ?X . ?X wdt:P175 ?answer},SELECT ?answer WHERE { ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#subject> <http://wikidata.dbpedia.org/resource/Q7539946> . ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#predicate> <http://www.wikidata.org/entity/P156>. ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#object> ?X . ?statement2 <http://www.w3.org/1999/02/22-rdf-syntax-ns#subject> ?X. ?statement2 <http://www.w3.org/1999/02/22-rdf-syntax-ns#predicate> <http://www.wikidata.org/entity/P175> . ?statement2 <http://www.w3.org/1999/02/22-rdf-syntax-ns#object> ?answer . },C RCD xD . xD RDE ?E,Who Sleepwalking succeeded in playing Sleepwalking?,SELECT ?answer WHERE { [Sleepwalking] [followed by] ?X . ?X [performer] ?answer},"['[Sleepwalking] is 2013 single by Bring Me the Horizon', '[performer] is actor, musician, band or other performer associated with this role or musical work', '[followed by] is immediately following item in a series of which the subject is a part, preferably use as qualifier of P179 [if the subject has been replaced, e.g. political offices, use ""replaced by"" (P1366)]']"
What is {nominated for} of {Clifton Chenier} that is {point in time} is {1983-0-0} ?,7855,statement_property,4300,What did Clifton Chenier get nominated for in 1983-0-0?,"SELECT ?obj WHERE { wd:Q1101377 p:P1411 ?s . ?s ps:P1411 ?obj . ?s pq:P585 ?x filter(contains(YEAR(?x),'1983')) }","select distinct ?obj  where {
?statement <http://www.w3.org/1999/02/22-rdf-syntax-ns#subject> <http://wikidata.dbpedia.org/resource/Q1101377> .
?statement <http://www.w3.org/1999/02/22-rdf-syntax-ns#predicate> <http://www.wikidata.org/entity/P1411> .
?statement <http://www.w3.org/1999/02/22-rdf-syntax-ns#object> ?obj .
?statement <http://www.wikidata.org/entity/P585> <1983-0-0>
} 
",(E pred F) prop ?value,"In 1983, what nomination did Clifton Chenier receive?","SELECT ?obj WHERE { [Clifton Chenier] [nominated for] ?s . ?s [nominated for] ?obj . ?s [point in time] ?x filter(contains(YEAR(?x),'1983')) }","['[nominated for] is award nomination received by a person, organisation or creative work (inspired from ""award received"" (Property:P166))', '[point in time] is date something took place, existed or a statement was true; for providing time use the ""refine date"" property (P4241)', '[Clifton Chenier] is American accordion player and Zydeco musician (1925–1987)', '[nominated for] is award nomination received by a person, organisation or creative work (inspired from ""award received"" (Property:P166))']"
What is the {Class IB flammable liquid} with the {MAX(lower flammable limit)} ?,2621,rank,197,Which Class IB flammable liquid has the least lower flammable limit?,select ?ent where { ?ent wdt:P31 wd:Q21009055 . ?ent wdt:P2202 ?obj } ORDER BY DESC(?obj)LIMIT 5 ,"select ?ent where {
?ent <http://www.wikidata.org/entity/P31> <http://wikidata.dbpedia.org/resource/Q21009055>.
?statement <http://www.w3.org/1999/02/22-rdf-syntax-ns#subject> ?ent .
?statement <http://www.w3.org/1999/02/22-rdf-syntax-ns#predicate> <http://www.wikidata.org/entity/P2202>.
?statement <http://www.w3.org/1999/02/22-rdf-syntax-ns#object> ?obj .}
ORDER BY DESC(?obj)
LIMIT 5","?E is_a Type, ?E pred Obj  value. MAX/MIN (value)",What flammable liquid has the least lower flammable limit in Class IB?,select ?ent where { ?ent [instance of] [Class IB flammable liquid] . ?ent [lower flammable limit] ?obj } ORDER BY DESC(?obj)LIMIT 5 ,"['[lower flammable limit] is the lower bound of the concentration range over which a flammable mixture of gas or vapour in air can be ignited at a given temperature and pressure (0-1)', '[instance of] is that class of which this subject is a particular example and member; different from P279 (subclass of); for example: K2 is an instance of mountain; volcano is a subclass of mountain (and an instance of volcanic landform)', '[Class IB flammable liquid] is OSHA (U.S.) classification for liquid']"
What is the {material used} and the {approved by} of {Mojito} ?,10141,two intentions right subgraph,427,What is the material used and approved by Mojito?,SELECT ?ans_1 ?ans_2 WHERE { wd:Q487338 wdt:P186 ?ans_1 . wd:Q487338 wdt:P790 ?ans_2 }, SELECT ?ans_1 ?ans_2 WHERE { ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#subject> <http://wikidata.dbpedia.org/resource/Q487338> . ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#predicate> <http://www.wikidata.org/entity/P186> . ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#object> ?ans_1. ?statement2 <http://www.w3.org/1999/02/22-rdf-syntax-ns#subject> <http://wikidata.dbpedia.org/resource/Q487338> . ?statement2 <http://www.w3.org/1999/02/22-rdf-syntax-ns#predicate> <http://www.wikidata.org/entity/P790> . ?statement2 <http://www.w3.org/1999/02/22-rdf-syntax-ns#object> ?ans_2. } ,select where (ent-pred-obj1 . ent-pred-obj2),What is the material used and accredited by means of Mojito?,SELECT ?ans_1 ?ans_2 WHERE { [Mojito] [made from material] ?ans_1 . [Mojito] [approved by] ?ans_2 },"['[Mojito] is traditional Cuban highball cocktail', '[approved by] is item is approved by other item(s) [qualifier: statement is approved by other item(s)]', '[Mojito] is traditional Cuban highball cocktail', '[made from material] is material the subject or the object is made of or derived from (do not confuse with P10672 which is used for processes)']"
