question,paraphrased_question,sparql_wikidata,wikidata_translated,llama3_response,eval_bert
Tell me organization whose name has the word  zollkriminalamt  in it.,Let me know organization whose title has the word zollkriminalamt in it.,"SELECT DISTINCT ?sbj ?sbj_label WHERE { ?sbj wdt:P31 wd:Q43229 . ?sbj rdfs:label ?sbj_label . FILTER(CONTAINS(lcase(?sbj_label), 'zollkriminalamt')) . FILTER (lang(?sbj_label) = 'en') } LIMIT 25 ","SELECT DISTINCT ?sbj ?sbj_label WHERE { ?sbj instance of organization . ?sbj rdfs:label ?sbj_label . FILTER(CONTAINS(lcase(?sbj_label), 'zollkriminalamt')) . FILTER (lang(?sbj_label) = 'en') } LIMIT 25 ","What is the name of an organization that has \""Zollkriminalamt\"" in its title?",0.87513965
Which member state of the International Centre for Settlement of Investment Disputes has the maximum inflation rate?,Which country in the International Centre for Settlement of Investment Disputes has the highest inflation rate?,select ?ent where { ?ent wdt:P31 wd:Q7275 . ?ent wdt:P1279 ?obj . ?ent wdt:P463 wd:Q899770 } ORDER BY DESC(?obj)LIMIT 5 ,select ?ent where { ?ent instance of state . ?ent inflation rate ?obj . ?ent member of International Centre for Settlement of Investment Disputes } ORDER BY DESC(?obj)LIMIT 5 ,"Which states have the highest inflation rates and are also members of the International Centre for Settlement of Investment Disputes, in descending order?",0.9224496
Was Brittany Murphy a citizen of the USA?,Did Brittany Murphy have USA citizenship?,ASK WHERE { wd:Q168847 wdt:P27 wd:Q30 },ASK WHERE { Brittany Murphy country of citizenship United States of America },Was Brittany Murphy an American citizen?,0.93362725
Does St. Peters Junior School maximum age equal to 11?,Is 11 the maximum age of St. Peters Junior School?,ASK WHERE { wd:Q60298462 wdt:P4135 ?obj filter(?obj = 11) } ,ASK WHERE { St Peter's Junior School maximum age ?obj filter(?obj = 11) } ,Is the maximum age of students at St Peter's Junior School exactly 11 years old?,0.8705939
What is the product with the lowest consumption rate per capita whose has part is paraffin wax?,What product that contains paraffin wax has the lowest usage per capita?,select ?ent where { ?ent wdt:P31 wd:Q2424752 . ?ent wdt:P2662 ?obj . ?ent wdt:P527 wd:Q177540. } ORDER BY ASC(?obj)LIMIT 5 ,select ?ent where { ?ent instance of product . ?ent consumption rate per capita ?obj . ?ent has part(s) paraffin. } ORDER BY ASC(?obj)LIMIT 5 ,What are the top 5 products that have a consumption rate per capita and contain paraffin?,0.9051755
When did Emmerson Mnangagwa begin going to the University of Zambia?,What year did Emmerson Mnangagwa start at the University of Zambia?,SELECT ?value WHERE { wd:Q510523 p:P69 ?s . ?s ps:P69 wd:Q2096836 . ?s pq:P580 ?value},SELECT ?value WHERE { Emmerson Mnangagwa p:P69 ?s . ?s ps:P69 University of Zambia . ?s pq:P580 ?value},When did Emmerson Mnangagwa graduate from the University of Zambia?,0.9599124
what is hypothetical protein ecia139-4120 habitat of found in species?,Which species is the ecia139-4120 protein found in?,SELECT ?answer WHERE { wd:Q22226273 wdt:P703 ?X . ?X wdt:P2974 ?answer},SELECT ?answer WHERE { hypothetical protein ECIAI39_4120 found in taxon ?X . ?X habitat ?answer},In which environment is the hypothetical protein ECIAI39_4120 typically found?,0.89260864
Are there more than 0 survivors of the Charkhi Dadri mid-air collision,Are there more than survivors of the Charkhi Dadri mid-air collision,ASK WHERE { wd:Q118373 wdt:P1561 ?obj filter(?obj = 0) } ,ASK WHERE { Charkhi Dadri mid-air collision number of survivors ?obj filter(?obj = 0) } ,Did the Charkhi Dadri mid-air collision have no survivors?,0.8939986
"What is a cause of death that begins with the letter ""p"" and can be found on a CT scan?","What is a purpose of dying that begins with the letter ""p"" and can be located on a CT scan?","SELECT DISTINCT ?sbj ?sbj_label WHERE { ?sbj wdt:P31 wd:Q1931388 . ?sbj wdt:P923 wd:Q32566 . ?sbj rdfs:label ?sbj_label . FILTER(STRSTARTS(lcase(?sbj_label), 'p')) . FILTER (lang(?sbj_label) = 'en') } LIMIT 25 ","SELECT DISTINCT ?sbj ?sbj_label WHERE { ?sbj instance of cause of death . ?sbj medical examination computed tomography . ?sbj rdfs:label ?sbj_label . FILTER(STRSTARTS(lcase(?sbj_label), 'p')) . FILTER (lang(?sbj_label) = 'en') } LIMIT 25 ",What are the causes of death that begin with the letter P and were confirmed by a CT scan?,0.8872625
In what area is Fernandel buried at the Passy Cemetery?,Where at Passy Cementery is Fernandel buried?,SELECT ?value WHERE { wd:Q129092 p:P119 ?s . ?s ps:P119 wd:Q1092107 . ?s pq:P373 ?value},SELECT ?value WHERE { Fernandel p:P119 ?s . ?s ps:P119 Passy Cemetery . ?s pq:P373 ?value},In which grave is Fernandel buried?,0.87687504
What award did Olga Tokarczuk receive in 2015?,Olga Tokarczuk was the winner of what award in 2015?,"SELECT ?obj WHERE { wd:Q254032 p:P166 ?s . ?s ps:P166 ?obj . ?s pq:P585 ?x filter(contains(YEAR(?x),'2015')) }","SELECT ?obj WHERE { Olga Tokarczuk p:P166 ?s . ?s ps:P166 ?obj . ?s pq:P585 ?x filter(contains(YEAR(?x),'2015')) }",For which literary award did Olga Tokarczuk receive the honor in 2015?,0.87087756
Was Aleister Crowley educated at Trinity College and Eton College?,Did Aleister Crowley receive his education at Trinity College and Eton College?,ASK WHERE { wd:Q172684 wdt:P69 wd:Q332342 . wd:Q172684 wdt:P69 wd:Q192088 },ASK WHERE { Aleister Crowley educated at Trinity College . Aleister Crowley educated at Eton College },Did Aleister Crowley attend both Trinity College and Eton College?,0.9523507
Who awarded Eric Hobsbawm an honorary doctorate?,Eric Hobsbawm was presented with an honorary doctorate by what institution?,SELECT ?value WHERE { wd:Q34933 p:P166 ?s . ?s ps:P166 wd:Q11415564 . ?s pq:P1027 ?value},SELECT ?value WHERE { Eric Hobsbawm p:P166 ?s . ?s ps:P166 honorary doctorate . ?s pq:P1027 ?value},For which university did Eric Hobsbawm receive an honorary doctorate?,0.89884657
Which record label signed Janet Jackson?,What is the record label signed by Janet Jackson?, select distinct ?obj where { wd:Q131324 wdt:P264 ?obj . ?obj wdt:P31 wd:Q18127 } , select distinct ?obj where { Janet Jackson record label ?obj . ?obj instance of record label } ,What is the name of Janet Jackson's record label?,0.94342446
Does the slope rating of the Merion Golf Club equal 149,Is the slope rating of the Merion Golf Club 149?,ASK WHERE { wd:Q3962734 wdt:P3840 ?obj filter(?obj = 149) } ,ASK WHERE { Merion Golf Club slope rating ?obj filter(?obj = 149) } ,Does the Merion Golf Club have a slope rating of 149?,0.9448217
What is the density of hydrogen peroxide at a temperature of 20.0?,What is hydrogen peroxide's density at twenty degrees?,"SELECT ?obj WHERE { wd:Q171877 p:P2054 ?s . ?s ps:P2054 ?obj . ?s pq:P2076 ?x filter(contains(?x,'20.0')) }","SELECT ?obj WHERE { hydrogen peroxide p:P2054 ?s . ?s ps:P2054 ?obj . ?s pq:P2076 ?x filter(contains(?x,'20.0')) }",What is the concentration of hydrogen peroxide that is equal to 20.0%?,0.88906324
Who was the teacher that supervised Shigeno Yasutsugu?,Who was the instructor that administered Shigeno Yasutsugu?,SELECT ?answer WHERE { wd:Q6533159 wdt:P1066 ?X . ?X wdt:P802 ?answer},SELECT ?answer WHERE { Shigeno Yasutsugu student of ?X . ?X student ?answer},Who was the student of Shigeno Yasutsugu?,0.9137581
When did Kylie Minogue receive the Gold Logie Award for Most Popular Personality on Australian Television?,On what date did Kylie Minogue receive the Gold Logie Award for Most Popular Personality on Australian Television?,SELECT ?value WHERE { wd:Q11998 p:P166 ?s . ?s ps:P166 wd:Q16191288 . ?s pq:P585 ?value},SELECT ?value WHERE { Kylie Minogue p:P166 ?s . ?s ps:P166 Gold Logie Award for Most Popular Personality on Australian Television . ?s pq:P585 ?value},In which year did Kylie Minogue win the Gold Logie Award for Most Popular Personality on Australian Television?,0.9640644
Tell me the Greek deity of sibling of Zeus and that contains the word poseidon in it's name?,Let me know the Greek deity of kin of Zeus which contains the word poseidon in it's name?,"SELECT DISTINCT ?sbj ?sbj_label WHERE { ?sbj wdt:P31 wd:Q22989102 . ?sbj wdt:P3373 wd:Q34201 . ?sbj rdfs:label ?sbj_label . FILTER(CONTAINS(lcase(?sbj_label), 'poseidon')) . FILTER (lang(?sbj_label) = 'en') } LIMIT 25 ","SELECT DISTINCT ?sbj ?sbj_label WHERE { ?sbj instance of Greek deity . ?sbj sibling Zeus . ?sbj rdfs:label ?sbj_label . FILTER(CONTAINS(lcase(?sbj_label), 'poseidon')) . FILTER (lang(?sbj_label) = 'en') } LIMIT 25 ",What is the name of the Greek god who is a sibling of Zeus and whose title contains the word Poseidon?,0.91444373
"Does marketing involve Human communication, and packaging and labeling?","Is Human communication, packaging and labeling involved with marketing?",ASK WHERE { wd:Q39809 wdt:P1269 wd:Q1066689 . wd:Q39809 wdt:P1269 wd:Q207822 },ASK WHERE { marketing facet of human communication . marketing facet of product packaging },Is marketing a part of human communication related to product packaging?,0.92925
Where is the river source of the Rhine?,Where does the river Rhine originate from?,SELECT ?obj WHERE { wd:Q584 p:P625 ?s . ?s ps:P625 ?obj . ?s pq:P518 wd:Q7376362 },SELECT ?obj WHERE { Rhine p:P625 ?s . ?s ps:P625 ?obj . ?s pq:P518 river source },What is the headwater or source of the Rhine River?,0.8869424
Tell me the tower that is depicted as Tower of Babel and contains the word babel in it's name?,Tell me the tower that is depicted as Tower of Babel and includes the word babel in it's name?,"SELECT DISTINCT ?sbj ?sbj_label WHERE { ?sbj wdt:P31 wd:Q12518 . ?sbj wdt:P1299 wd:Q2899725 . ?sbj rdfs:label ?sbj_label . FILTER(CONTAINS(lcase(?sbj_label), 'babel')) . FILTER (lang(?sbj_label) = 'en') } LIMIT 25 ","SELECT DISTINCT ?sbj ?sbj_label WHERE { ?sbj instance of tower . ?sbj depicted by Tower of Babel . ?sbj rdfs:label ?sbj_label . FILTER(CONTAINS(lcase(?sbj_label), 'babel')) . FILTER (lang(?sbj_label) = 'en') } LIMIT 25 ","What is the name of a tower that has \""Babel\"" in its title, as depicted by the biblical story?",0.88050574
is the maximum wavelength of sensitivity of the human eye equal to 700?,Is 700 the maximum wavelength of sensitivity of the human eye?,ASK WHERE { wd:Q430024 wdt:P3737 ?obj filter(?obj = 700) } ,ASK WHERE { human eye maximum wavelength of sensitivity ?obj filter(?obj = 700) } ,Does the human eye have its maximum sensitivity at a wavelength of 700?,0.9277249
What are the unit of measurement which start with the letter visus,What is the measuring unit that starts with the letter visus?,"SELECT DISTINCT ?sbj ?sbj_label WHERE { ?sbj wdt:P31 wd:Q47574 . ?sbj rdfs:label ?sbj_label . FILTER(CONTAINS(lcase(?sbj_label), 'visus')) . FILTER (lang(?sbj_label) = 'en') } LIMIT 25 ","SELECT DISTINCT ?sbj ?sbj_label WHERE { ?sbj instance of unit of measurement . ?sbj rdfs:label ?sbj_label . FILTER(CONTAINS(lcase(?sbj_label), 'visus')) . FILTER (lang(?sbj_label) = 'en') } LIMIT 25 ",What are the units of measurement whose labels contain the word visus?,0.90242606
what was the publication date for iTunes which has software version as 12.7.5?,When was iTunes version 12.7.5 published?,"SELECT ?value WHERE { wd:Q9589 p:P348 ?s . ?s ps:P348 ?x filter(contains(?x,'12.7.5')) . ?s pq:P577 ?value}","SELECT ?value WHERE { iTunes p:P348 ?s . ?s ps:P348 ?x filter(contains(?x,'12.7.5')) . ?s pq:P577 ?value}",What is the version number of the update for iTunes that is 12.7.5?,0.8817106
What are the head of state and the office held by head of state of the Soviet Union?,What is the head of state of the Soviet Union?,SELECT ?ans_1 ?ans_2 WHERE { wd:Q15180 wdt:P35 ?ans_1 . wd:Q15180 wdt:P1906 ?ans_2 },SELECT ?ans_1 ?ans_2 WHERE { Soviet Union head of state ?ans_1 . Soviet Union office held by head of state ?ans_2 },Who was the head of state and what office did they hold in the Soviet Union?,0.8711679
What is the name of award recieved for Dawn Fraser has participant of 1960 Summer Olympics ?,What award did Dawn Fraser get in the 1960 Olympics?,SELECT ?value WHERE { wd:Q229040 p:P1344 ?s . ?s ps:P1344 wd:Q8415 . ?s pq:P166 ?value},SELECT ?value WHERE { Dawn Fraser p:P1344 ?s . ?s ps:P1344 1960 Summer Olympics . ?s pq:P166 ?value},"At the 1960 Summer Olympics, what award did Dawn Fraser receive?",0.9254039
What is the parent organization for the International Court of Justice?,What is the parent organization for the Universal Court of Justice?, select distinct ?obj where { wd:Q7801 wdt:P749 ?obj . ?obj wdt:P31 wd:Q484652 } , select distinct ?obj where { International Court of Justice parent organization ?obj . ?obj instance of international organization } ,What is the parent international organization of the International Court of Justice?,0.9238004
What is the solubility of methyl chloride in water?,Which is the solubility of methyl chloride in water?,SELECT ?obj WHERE { wd:Q422709 p:P2177 ?s . ?s ps:P2177 ?obj . ?s pq:P2178 wd:Q283 },SELECT ?obj WHERE { methyl chloride p:P2177 ?s . ?s ps:P2177 ?obj . ?s pq:P2178 water },What is the substance that methyl chloride reacts with to form water?,0.89600617
What is the affiliation building in Columbia University,What is the Columbia University affiliation building?, select distinct ?sbj where { ?sbj wdt:P1416 wd:Q49088 . ?sbj wdt:P31 wd:Q19844914 } , select distinct ?sbj where { ?sbj affiliation Columbia University . ?sbj instance of university building } ,Which university building is affiliated with Columbia University?,0.89383614
How many rivers and lakes are connected to Lake Urmia?,Can you tell me the amount of lakes are rivers attached to Lake Urmia?,SELECT (COUNT(?sub) AS ?value ) { ?sub wdt:P469 wd:Q199551 },SELECT (COUNT(?sub) AS ?value ) { ?sub lake on watercourse Urmia Lake },How many lakes are located on the watercourse of Urmia Lake?,0.8823136
Is it true that the explosive energy equivalent of Father of All Bombs is less than 52.8?,Is the equivalent of the Father of All Bombs explosive energy less than 52.8?,ASK WHERE { wd:Q1049487 wdt:P2145 ?obj filter(?obj < 52.8) } ,ASK WHERE { Father of All Bombs explosive energy equivalent ?obj filter(?obj < 52.8) } ,Is the explosive energy equivalent of the Father of All Bombs less than 53 megatons?,0.9444356
tell me ceremony whose name has the word umhlanga in it,Tell me the ceremony in which the word umhlanga is named,"SELECT DISTINCT ?sbj ?sbj_label WHERE { ?sbj wdt:P31 wd:Q2627975 . ?sbj rdfs:label ?sbj_label . FILTER(CONTAINS(lcase(?sbj_label), 'umhlanga')) . FILTER (lang(?sbj_label) = 'en') } LIMIT 25 ","SELECT DISTINCT ?sbj ?sbj_label WHERE { ?sbj instance of ceremony . ?sbj rdfs:label ?sbj_label . FILTER(CONTAINS(lcase(?sbj_label), 'umhlanga')) . FILTER (lang(?sbj_label) = 'en') } LIMIT 25 ",What is the name of a traditional ceremony that contains the word umhlanga?,0.8950747
What is edition runtime for League of Legends?,What is the League of Legends runtime edition?,SELECT ?answer WHERE { wd:Q223341 wdt:P400 ?X . ?X wdt:P747 ?answer},SELECT ?answer WHERE { League of Legends platform ?X . ?X has edition or translation ?answer},What is an edition or translation of the platform that League of Legends uses?,0.8726571
What is the name of the Dutch municipal coat of arms of Amsterdam?,What is the title of the Dutch civil coat of arms of Amsterdam?, select distinct ?obj where { wd:Q727 wdt:P237 ?obj . ?obj wdt:P31 wd:Q28147344 } , select distinct ?obj where { Amsterdam coat of arms ?obj . ?obj instance of Dutch municipal coat of arms } ,"What is the coat of arms that belongs to Amsterdam, which is also a Dutch municipal coat of arms?",0.8921499
Is the stated age of Rolf-Axel Eberhardt greater than 52?,Is Rolf - Axel Eberhardt's stated age greater than 52?,ASK WHERE { wd:Q50334841 wdt:P3629 ?obj filter(?obj > 52.0) } ,ASK WHERE { Rolf-Axel Eberhardt age of subject at event ?obj filter(?obj > 52.0) } ,Is Rolf-Axel Eberhardt's age at some event greater than 52?,0.9399523
When Podgorica started as Principality of Montenegro?,When did Podgorica start as Principality of Montenegro?,SELECT ?value WHERE { wd:Q23564 p:P17 ?s . ?s ps:P17 wd:Q779011 . ?s pq:P580 ?value},SELECT ?value WHERE { Podgorica p:P17 ?s . ?s ps:P17 Principality of Montenegro . ?s pq:P580 ?value},When did Podgorica become part of the Principality of Montenegro?,0.9447484
IS THE ENTHALPY OF VAPORIZATION OF METHANOL IS EQUAL TO 37400,Does the total quantity of Methanol Vaporization equal 37400?,ASK WHERE { wd:Q14982 wdt:P2116 ?obj filter(?obj = 37400) } ,ASK WHERE { methanol molar enthalpy of vaporization ?obj filter(?obj = 37400) } ,"Is the molar enthalpy of vaporization of methanol equal to 37,400?",0.92825454
What are the military operation which start with the letter o,Which military operation  stars with the letter o?,"SELECT DISTINCT ?sbj ?sbj_label WHERE { ?sbj wdt:P31 wd:Q645883 . ?sbj rdfs:label ?sbj_label . FILTER(STRSTARTS(lcase(?sbj_label), 'o')) . FILTER (lang(?sbj_label) = 'en') } LIMIT 25 ","SELECT DISTINCT ?sbj ?sbj_label WHERE { ?sbj instance of military operation . ?sbj rdfs:label ?sbj_label . FILTER(STRSTARTS(lcase(?sbj_label), 'o')) . FILTER (lang(?sbj_label) = 'en') } LIMIT 25 ",What are the names of the military operations that start with the letter O?,0.8812043
Is the matches/games drawn/tied of the 2001 British and Irish Lions tour to Australia equal to 0?,"Were there 0 matches, games drawn and tied during the 2001 British and Irish Lions tour?",ASK WHERE { wd:Q3535481 wdt:P1357 ?obj filter(?obj = 0) } ,ASK WHERE { 2001 British and Irish Lions tour to Australia number of draws/ties ?obj filter(?obj = 0) } ,Did the 2001 British and Irish Lions tour to Australia have any drawn or tied matches?,0.9428074
Who is the mother and husband of Candice Bergen?,Who are Candice Bergen's parents?,SELECT ?ans_1 ?ans_2 WHERE { wd:Q106942 wdt:P25 ?ans_1 . wd:Q106942 wdt:P26 ?ans_2 },SELECT ?ans_1 ?ans_2 WHERE { Candice Bergen mother ?ans_1 . Candice Bergen spouse ?ans_2 },Who is Candice Bergen's mother and who is her spouse?,0.89327306
"""Which language written from Romy Schneider, has the grammatical person speaking as the third personal plural?""","""Which dialect composed from Romy Schneider, has the syntactic individual talking as the third individual plural?""",SELECT ?answer WHERE { wd:Q78469 wdt:P1412 ?answer . ?answer wdt:P5110 wd:Q51929517},"SELECT ?answer WHERE { Romy Schneider languages spoken, written or signed ?answer . ?answer has grammatical person third-person plural}",What is the language that Romy Schneider spoke/wrote/signaled in the third person plural form?,0.8700734
Does the cash back of the Gold  ADAC Credit Card equals 5?,Is 5 the cash back value of the Gold ADAC Credit Card?,ASK WHERE { wd:Q56746601 wdt:P4448 ?obj filter(?obj = 5) } ,ASK WHERE { ADAC Credit Card GOLD cash back ?obj filter(?obj = 5) } ,Does the ADAC Credit Card GOLD offer 5% cashback?,0.8870327
what is spouse of Carlos Saura that is start time is 2006?,Whats the name of Carlos Saura's wife whom he married in 2006?,"SELECT ?obj WHERE { wd:Q295855 p:P26 ?s . ?s ps:P26 ?obj . ?s pq:P580 ?x filter(contains(YEAR(?x),'2006')) }","SELECT ?obj WHERE { Carlos Saura p:P26 ?s . ?s ps:P26 ?obj . ?s pq:P580 ?x filter(contains(YEAR(?x),'2006')) }",Who did Carlos Saura marry in 2006?,0.87196136
Was Michael J. Fox's place of birth in Edmonton?,Where was Michael J. Fox born?,ASK WHERE { wd:Q395274 wdt:P19 wd:Q2096 },ASK WHERE { Michael J. Fox place of birth Edmonton },Was Michael J. Fox born in Edmonton?,0.88783044
is it true that the SSK6-1s optimum viable temperature is greater than 24.0?,Is it correct to say that the SSK6-1s optimum workable temperature is greater than 24.0?,ASK WHERE { wd:Q29565582 wdt:P3253 ?obj filter(?obj > 24.0) } ,ASK WHERE { SSK6-1 optimum viable temperature ?obj filter(?obj > 24.0) } ,Is the optimum viable temperature for SSK6-1 greater than 24 degrees Celsius?,0.8944189
Who is the son of Jacob Conover?,Who is the child of Jacob Conover?,SELECT ?answer WHERE { wd:Q17853991 wdt:P1365 ?X . ?X wdt:P22 ?answer},SELECT ?answer WHERE { Jacob Conover replaces ?X . ?X father ?answer},Who is the father of Jacob Conover's replacement?,0.88415295
Is it true that the fee of Harvard University is less than 90?,Is the fee for Harvard University is less than 90?,ASK WHERE { wd:Q13371 wdt:P2555 ?obj filter(?obj < 90.0) } ,ASK WHERE { Harvard University fee ?obj filter(?obj < 90.0) } ,Does Harvard University's tuition cost less than $90?,0.8712959
What conflict is depicted is Raising the Flag on Iwo Jima?,Which conflict is depicted by the Raising of the Flag on Iwo Jima?,SELECT ?answer WHERE { wd:Q117693 wdt:P180 ?X . ?X wdt:P607 ?answer},SELECT ?answer WHERE { Raising the Flag on Iwo Jima depicts ?X . ?X conflict ?answer},"What kind of conflict is depicted in the movie \""Raising the Flag on Iwo Jima\""?",0.8779704
