NNQT_question,uid,subgraph,template_index,question,sparql_wikidata,sparql_dbpedia18,template,paraphrased_question,wikidata_translated
What is {population} of {Spokane} that is {point in time} is {2007-0-0} ?,7974,statement_property,4419,"On 0-0-2007, what is the populaton of Spokane?","SELECT ?obj WHERE { wd:Q187805 p:P1082 ?s . ?s ps:P1082 ?obj . ?s pq:P585 ?x filter(contains(YEAR(?x),'2007')) }","select distinct ?obj  where {
?statement <http://www.w3.org/1999/02/22-rdf-syntax-ns#subject> <http://wikidata.dbpedia.org/resource/Q187805> .
?statement <http://www.w3.org/1999/02/22-rdf-syntax-ns#predicate> <http://www.wikidata.org/entity/P1082> .
?statement <http://www.w3.org/1999/02/22-rdf-syntax-ns#object> ?obj .
?statement <http://www.wikidata.org/entity/P585> <2007-0-0>
} 
",(E pred F) prop ?value,What was the population of Spokane at the beginning of 2007?,"SELECT ?obj WHERE { Spokane p:P1082 ?s . ?s ps:P1082 ?obj . ?s pq:P585 ?x filter(contains(YEAR(?x),'2007')) }"
What is the {essential medicine} for {medical condition treated} of {leprosy},21093,simple question left,1439,What essential medicine is needed to treat leprosy?, select distinct ?sbj where { ?sbj wdt:P2175 wd:Q36956 . ?sbj wdt:P31 wd:Q35456 } ,select distinct ?subj where { ?statement <http://www.w3.org/1999/02/22-rdf-syntax-ns#subject> ?subj . ?statement <http://www.w3.org/1999/02/22-rdf-syntax-ns#predicate> <http://www.wikidata.org/entity/P2175> . ?statement <http://www.w3.org/1999/02/22-rdf-syntax-ns#object> <http://wikidata.dbpedia.org/resource/Q36956> . ?subj <http://www.wikidata.org/entity/P31> <http://wikidata.dbpedia.org/resource/Q35456> } ,<?S P O ; ?S InstanceOf Type>,What basic pharmaceutical is required to treat leprosy?, select distinct ?sbj where { ?sbj medical condition treated leprosy . ?sbj instance of essential medicine } 
Did {Judi_Dench} {award received} {Tony Award for Best Direction of a Play} and {Praemium Imperiale} ?,712,boolean double one_hop right subgraph,212,Did Judi Densch receive a Tony Award for best direction of the play Premium Imperiale?,ASK WHERE { wd:Q28054 wdt:P166 wd:Q640374 . wd:Q28054 wdt:P166 wd:Q268670 }, ASK { ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#subject> <http://wikidata.dbpedia.org/resource/Q28054> . ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#predicate> <http://www.wikidata.org/entity/P166> . ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#object> <http://wikidata.dbpedia.org/resource/Q640374>. ?statement2 <http://www.w3.org/1999/02/22-rdf-syntax-ns#subject> <http://wikidata.dbpedia.org/resource/Q28054> . ?statement2 <http://www.w3.org/1999/02/22-rdf-syntax-ns#predicate> <http://www.wikidata.org/entity/P166> . ?statement2 <http://www.w3.org/1999/02/22-rdf-syntax-ns#object> <http://wikidata.dbpedia.org/resource/Q268670>. } ,Ask (ent-pred-obj1` . ent-pred-obj2),Was the Tony Award for best direction of the play Premium Imperiale given to Judi Densch?,ASK WHERE { Judi Dench award received Tony Award for Best Direction of a Play . Judi Dench award received Praemium Imperiale }
what is the {pressure} for {copper} has {boiling point} as {4703.0} ?,6826,statement_property,3271,What is the boiling point of pressure copper as 4703.0?,"SELECT ?value WHERE { wd:Q753 p:P2102 ?s . ?s ps:P2102 ?x filter(contains(?x,'4703.0')) . ?s pq:P2077 ?value}","select distinct ?value  where {
?statement <http://www.w3.org/1999/02/22-rdf-syntax-ns#subject> <http://wikidata.dbpedia.org/resource/Q753> .
?statement <http://www.w3.org/1999/02/22-rdf-syntax-ns#predicate> <http://www.wikidata.org/entity/P2102> .
?statement <http://www.w3.org/1999/02/22-rdf-syntax-ns#object> <4703.0> .
?statement <http://www.wikidata.org/entity/P2077> ?value. 
} 
",(E pred ?Obj ) prop value,Copper as 4703.0 has a boiling boint of what?,"SELECT ?value WHERE { copper p:P2102 ?s . ?s ps:P2102 ?x filter(contains(?x,'4703.0')) . ?s pq:P2077 ?value}"
What is the {record held} and the {named after} of {Marathon} ?,10143,two intentions right subgraph,431,After what is Marathon named and what is the current record?,SELECT ?ans_1 ?ans_2 WHERE { wd:Q40244 wdt:P1000 ?ans_1 . wd:Q40244 wdt:P138 ?ans_2 }, SELECT ?ans_1 ?ans_2 WHERE { ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#subject> <http://wikidata.dbpedia.org/resource/Q40244> . ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#predicate> <http://www.wikidata.org/entity/P1000> . ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#object> ?ans_1. ?statement2 <http://www.w3.org/1999/02/22-rdf-syntax-ns#subject> <http://wikidata.dbpedia.org/resource/Q40244> . ?statement2 <http://www.w3.org/1999/02/22-rdf-syntax-ns#predicate> <http://www.wikidata.org/entity/P138> . ?statement2 <http://www.w3.org/1999/02/22-rdf-syntax-ns#object> ?ans_2. } ,select where (ent-pred-obj1 . ent-pred-obj2),why Marathon had this name and the current record is?,SELECT ?ans_1 ?ans_2 WHERE { marathon record held ?ans_1 . marathon named after ?ans_2 }
What is {played by} of {succeded by} of {Sleepwalking} ?,15164,left-subgraph,86,Who Sleepwalking succeeded in playing Sleepwalking?,SELECT ?answer WHERE { wd:Q7539946 wdt:P156 ?X . ?X wdt:P175 ?answer},SELECT ?answer WHERE { ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#subject> <http://wikidata.dbpedia.org/resource/Q7539946> . ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#predicate> <http://www.wikidata.org/entity/P156>. ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#object> ?X . ?statement2 <http://www.w3.org/1999/02/22-rdf-syntax-ns#subject> ?X. ?statement2 <http://www.w3.org/1999/02/22-rdf-syntax-ns#predicate> <http://www.wikidata.org/entity/P175> . ?statement2 <http://www.w3.org/1999/02/22-rdf-syntax-ns#object> ?answer . },C RCD xD . xD RDE ?E,Who Sleepwalking succeeded in playing Sleepwalking?,SELECT ?answer WHERE { Sleepwalking followed by ?X . ?X performer ?answer}
What is {nominated for} of {Clifton Chenier} that is {point in time} is {1983-0-0} ?,7855,statement_property,4300,What did Clifton Chenier get nominated for in 1983-0-0?,"SELECT ?obj WHERE { wd:Q1101377 p:P1411 ?s . ?s ps:P1411 ?obj . ?s pq:P585 ?x filter(contains(YEAR(?x),'1983')) }","select distinct ?obj  where {
?statement <http://www.w3.org/1999/02/22-rdf-syntax-ns#subject> <http://wikidata.dbpedia.org/resource/Q1101377> .
?statement <http://www.w3.org/1999/02/22-rdf-syntax-ns#predicate> <http://www.wikidata.org/entity/P1411> .
?statement <http://www.w3.org/1999/02/22-rdf-syntax-ns#object> ?obj .
?statement <http://www.wikidata.org/entity/P585> <1983-0-0>
} 
",(E pred F) prop ?value,"In 1983, what nomination did Clifton Chenier receive?","SELECT ?obj WHERE { Clifton Chenier p:P1411 ?s . ?s ps:P1411 ?obj . ?s pq:P585 ?x filter(contains(YEAR(?x),'1983')) }"
What is the {Class IB flammable liquid} with the {MAX(lower flammable limit)} ?,2621,rank,197,Which Class IB flammable liquid has the least lower flammable limit?,select ?ent where { ?ent wdt:P31 wd:Q21009055 . ?ent wdt:P2202 ?obj } ORDER BY DESC(?obj)LIMIT 5 ,"select ?ent where {
?ent <http://www.wikidata.org/entity/P31> <http://wikidata.dbpedia.org/resource/Q21009055>.
?statement <http://www.w3.org/1999/02/22-rdf-syntax-ns#subject> ?ent .
?statement <http://www.w3.org/1999/02/22-rdf-syntax-ns#predicate> <http://www.wikidata.org/entity/P2202>.
?statement <http://www.w3.org/1999/02/22-rdf-syntax-ns#object> ?obj .}
ORDER BY DESC(?obj)
LIMIT 5","?E is_a Type, ?E pred Obj  value. MAX/MIN (value)",What flammable liquid has the least lower flammable limit in Class IB?,select ?ent where { ?ent instance of Class IB flammable liquid . ?ent lower flammable limit ?obj } ORDER BY DESC(?obj)LIMIT 5 
What is the {material used} and the {approved by} of {Mojito} ?,10141,two intentions right subgraph,427,What is the material used and approved by Mojito?,SELECT ?ans_1 ?ans_2 WHERE { wd:Q487338 wdt:P186 ?ans_1 . wd:Q487338 wdt:P790 ?ans_2 }, SELECT ?ans_1 ?ans_2 WHERE { ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#subject> <http://wikidata.dbpedia.org/resource/Q487338> . ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#predicate> <http://www.wikidata.org/entity/P186> . ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#object> ?ans_1. ?statement2 <http://www.w3.org/1999/02/22-rdf-syntax-ns#subject> <http://wikidata.dbpedia.org/resource/Q487338> . ?statement2 <http://www.w3.org/1999/02/22-rdf-syntax-ns#predicate> <http://www.wikidata.org/entity/P790> . ?statement2 <http://www.w3.org/1999/02/22-rdf-syntax-ns#object> ?ans_2. } ,select where (ent-pred-obj1 . ent-pred-obj2),What is the material used and accredited by means of Mojito?,SELECT ?ans_1 ?ans_2 WHERE { Mojito made from material ?ans_1 . Mojito approved by ?ans_2 }
What is the {history of a country or state} for {history of topic} of {Korea},19829,simple question right,175,Could you summarize Korea's history of this topic?, select distinct ?obj where { wd:Q18097 wdt:P2184 ?obj . ?obj wdt:P31 wd:Q17544377 } ,select distinct ?obj where { ?statement <http://www.w3.org/1999/02/22-rdf-syntax-ns#subject> <http://wikidata.dbpedia.org/resource/Q18097> . ?statement <http://www.w3.org/1999/02/22-rdf-syntax-ns#predicate> <http://www.wikidata.org/entity/P2184> . ?statement <http://www.w3.org/1999/02/22-rdf-syntax-ns#object> ?obj . ?obj <http://www.wikidata.org/entity/P31> <http://wikidata.dbpedia.org/resource/Q17544377> } , <S P ?O ; ?O instanceOf Type>,"In this topic, give a summary of Korea's history", select distinct ?obj where { Korea history of topic ?obj . ?obj instance of history of a country or state } 
"What is {landscape of} of {Virgin of the rocks}, that has {birth city} is {Tzippori} ?",13981,right-subgraph,9,"""Which is {landscape of} of {Virgin of the rocks}, which has {birth city} is {Tzippori} ?""",SELECT ?answer WHERE { wd:Q269342 wdt:P180 ?answer . ?answer wdt:P19 wd:Q1132798},SELECT ?answer WHERE { ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#subject> <http://wikidata.dbpedia.org/resource/Q269342> . ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#predicate> <http://www.wikidata.org/entity/P180>. ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#object> ?answer . ?statement2 <http://www.w3.org/1999/02/22-rdf-syntax-ns#subject> ?answer. ?statement2 <http://www.w3.org/1999/02/22-rdf-syntax-ns#predicate> <http://www.wikidata.org/entity/P19> . ?statement2 <http://www.w3.org/1999/02/22-rdf-syntax-ns#object> <http://wikidata.dbpedia.org/resource/Q1132798> . },E REF ?F . ?F RFG G,"""Which is {scene of} of {Virgin of the rocks}, which has {birth city} is {Tzippori} ?""",SELECT ?answer WHERE { Virgin of the Rocks depicts ?answer . ?answer place of birth Tzippori}
Did {Kevin_Costner} {owner of} {Fielders Stadium}?,403,boolean one_hop right subgraph,403,Is Kevin Costner owner of Fielders Stadium?,ASK WHERE { wd:Q11930 wdt:P1830 wd:Q5447154 }, ASK { ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#subject> <http://wikidata.dbpedia.org/resource/Q11930> . ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#predicate> <http://www.wikidata.org/entity/P1830> . ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#object> <http://wikidata.dbpedia.org/resource/Q5447154>. } ,Ask (ent-pred-obj),Is the Fielders Stadium owned by Kevin Costner?,ASK WHERE { Kevin Costner owner of Fielders Stadium }
Give me {skill} that starts with {'s'},24611,string matching simple contains word,2614,What is a skill that starts with the letter s.,"SELECT DISTINCT ?sbj ?sbj_label WHERE { ?sbj wdt:P31 wd:Q205961 . ?sbj rdfs:label ?sbj_label . FILTER(STRSTARTS(lcase(?sbj_label), 's')) . FILTER (lang(?sbj_label) = 'en') } LIMIT 25 ","SELECT DISTINCT ?sbj ?sbj_label { ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#subject> ?sbj . ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#predicate> <http://www.wikidata.org/entity/P31> . ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#object> <http://wikidata.dbpedia.org/resource/Q205961>. ?sbj rdfs:label ?sbj_label . FILTER(STRSTARTS(lcase(?sbj_label), 's')) . FILTER (lang(?sbj_label) = 'en') } LIMIT 25", <?S P O ; ?S instanceOf Type ; starts with character >,What could be a aptitude that begins with the letter s.,"SELECT DISTINCT ?sbj ?sbj_label WHERE { ?sbj instance of skill . ?sbj rdfs:label ?sbj_label . FILTER(STRSTARTS(lcase(?sbj_label), 's')) . FILTER (lang(?sbj_label) = 'en') } LIMIT 25 "
How many {from fictional universe} are for {Captain America} ?,1344,statement_property,344,How many dimensions have a Captain America?,SELECT (COUNT(?obj) AS ?value ) { wd:Q190679 wdt:P1080 ?obj },"SELECT (COUNT(?obj) AS ?objs ) {
?statement <http://www.w3.org/1999/02/22-rdf-syntax-ns#subject> <http://wikidata.dbpedia.org/resource/Q190679> .
?statement <http://www.w3.org/1999/02/22-rdf-syntax-ns#predicate> <http://www.wikidata.org/entity/P1080> .
?statement <http://www.w3.org/1999/02/22-rdf-syntax-ns#object> ?obj .
} 
",Count Obj (ent-pred-obj),Give me the dimensions of Captain America,SELECT (COUNT(?obj) AS ?value ) { Captain America from narrative universe ?obj }
What is {award received} of {Danila Kozlovsky} that is {point in time} is {2017-0-0} ?,8396,statement_property,4841,What award did Danila Kozlovsky receive in 2017?,"SELECT ?obj WHERE { wd:Q3015088 p:P166 ?s . ?s ps:P166 ?obj . ?s pq:P585 ?x filter(contains(YEAR(?x),'2017')) }","select distinct ?obj  where {
?statement <http://www.w3.org/1999/02/22-rdf-syntax-ns#subject> <http://wikidata.dbpedia.org/resource/Q3015088> .
?statement <http://www.w3.org/1999/02/22-rdf-syntax-ns#predicate> <http://www.wikidata.org/entity/P166> .
?statement <http://www.w3.org/1999/02/22-rdf-syntax-ns#object> ?obj .
?statement <http://www.wikidata.org/entity/P585> <2017-0-0>
} 
",(E pred F) prop ?value,What award did Danila Kozlovsky get in 2017?,"SELECT ?obj WHERE { Danila Kozlovsky p:P166 ?s . ?s ps:P166 ?obj . ?s pq:P585 ?x filter(contains(YEAR(?x),'2017')) }"
